system:index,date,dewpoint_2m_temperature,mean_2m_air_temperature,month,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed,year,.geo
0,2000-01,286.45827799602085,291.10226325489356,1,101282.45881482879,3.07141494191503E-4,0.7384267512284978,-0.7433141455789588,1.6073575378436338,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2000-02,286.6669085576575,293.0466101209442,2,101168.76287134942,8.57068937199616E-4,0.2881270738946947,-0.8018940677815692,1.3550584106693497,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2000-03,291.4242761894295,297.75791926542433,3,100807.71738576281,0.0017973213111662865,-0.48903086468772455,0.669901720286616,1.649225829999196,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2000-04,296.4499358792799,300.5769334068952,4,100406.66332766866,0.009273807079721641,-0.37728298943028354,2.1452576660317595,2.7101614694540523,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2000-05,297.8234333326449,301.0808551338864,5,100205.20988639226,0.015850440636727383,-0.9063246917748619,1.8636471709215865,2.3009997180762225,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2000-06,298.8701676137257,301.790577364304,6,100005.37202133685,0.010490548241159465,-0.9610598270026339,2.7631310709773715,3.100656244680176,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2000-07,298.58380753285695,301.8234418640444,7,99901.92637210472,0.008766057201138766,-1.4932475588713046,2.7817300151602136,3.4202007264898673,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2000-08,299.014128483122,301.84150887265537,8,100066.49358163393,0.007685627331741509,-1.2696717533100046,2.2460566277230254,2.8310915959171035,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2000-09,298.2682448587869,300.9664789328521,9,100400.35200937813,0.008912371480715539,-0.8277272947125083,1.4724695349267845,2.0800560848161362,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2000-10,297.4197258863804,300.2528187608671,10,100657.96944864048,0.006157610561391048,-0.46455882293099965,-0.14983459225886717,1.2322411953980885,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2000-11,292.50756183174803,296.77028926607346,11,101124.6590744587,6.533719673603893E-5,0.0011547585178357943,-0.3313315705170203,1.0971805134084547,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2000-12,286.928413371137,292.10170962361525,12,101286.98150018879,5.0282396130840075E-8,0.8080872819502908,-1.1174438638989659,1.5051676211381264,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2001-01,284.37311221888183,290.2046522680245,1,101216.69875062937,9.141488438429066E-6,1.5166549667250833,-0.943296964735183,1.9674773179067484,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2001-02,288.0635242227822,294.5614033217877,2,100986.09359107503,5.992563153288353E-4,0.6545301659949956,0.04128176302603123,1.5328515152601543,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2001-03,290.1699262328979,298.56039352493826,3,100829.11888217523,0.0017509674157268264,0.6422648035807672,0.3099454149258701,1.5638750561074828,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2001-04,295.6370450698837,301.4499048945646,4,100599.20288425223,0.003885208218980277,0.11468187594881944,1.9362713087481436,2.116653435756823,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
