system:index,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,date,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,.geo
0,-999.0,0,-999.0,0,-999.0,0,1,2000-01,12.502736725345756,1,101290.96218182964,0.3207467875073361,18.500795639202124,1.490234182147463,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.539,1,27.370000000000033,1,-999.0,0,1,2000-02,12.319067387197265,2,101172.48632812499,0.7133510345997349,19.728269151709583,1.2695908612090865,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.622,1,31.44500000000002,1,-999.0,0,1,2000-03,17.527532114008466,3,100820.58222551244,2.002819960160589,24.42421130518761,1.492279984217198,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.58,1,31.20000000000003,1,-999.0,0,1,2000-04,23.097304895189154,4,100425.26116536457,9.351074843057816,27.63182612525094,2.2786072285498493,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8180000000000001,1,31.950000000000017,1,-999.0,0,1,2000-05,24.986408857119898,5,100222.58610551075,16.06662882402031,27.843337508170862,2.015601418266978,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.923,1,29.696666666666697,1,-999.0,0,1,2000-06,25.27108493381087,6,100028.81087239583,10.402533337087167,27.954416063096744,2.692149230488932,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-999,0,30.870000000000005,1,-999.0,0,1,2000-07,24.730859826200742,7,99931.63563193043,7.656075098991197,27.747973952754876,3.167451178170751,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.653,1,-999,0,-999.0,0,1,2000-08,25.130731857463843,8,100092.48394447246,7.6385280828622895,27.62336200591062,2.6119946790546664,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.684,1,28.443333333333367,1,-999.0,0,1,2000-09,24.373424890306296,9,100429.09123263888,8.663803120713471,26.834353065490745,1.8799855817556292,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.662,1,31.67000000000003,1,-999.0,0,1,2000-10,23.498988723754906,10,100684.00505607357,6.123393356528683,26.303476423858285,1.0343536810554725,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
