,count,unique,top,freq,mean,std,min,25%,50%,75%,max
AOD,267.0,,,,0.7422958801498126,0.24210079633174852,0.26,0.558,0.717,0.883,1.66
AOD_available,312.0,,,,0.8557692307692307,0.35188795070884243,0.0,1.0,1.0,1.0,1.0
LST_C,271.0,,,,30.25899138991393,3.3894698541981723,21.88000000000004,28.128333333333366,30.920000000000016,32.77916666666669,36.64333333333337
LST_available,312.0,,,,0.8685897435897436,0.33839121695812896,0.0,1.0,1.0,1.0,1.0
NO2,91.0,,,,0.00015579207725138338,8.720577689896317e-05,4.746356101676113e-05,8.100751841244092e-05,0.0001484941626746,0.00020218933598275,0.0003671541521103
NO2_available,312.0,,,,0.2916666666666667,0.45525984006074255,0.0,0.0,0.0,1.0,1.0
climate_available,312.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
date,312,312,2000-01,1,,,,,,,
dewpoint,312.0,,,,20.597992658852352,4.880405310191021,10.064326838011368,16.095761307336943,22.886802907143874,24.966242439516122,26.571533563401943
month,312.0,,,,6.5,3.457597999020358,1.0,3.75,6.5,9.25,12.0
pressure,312.0,,,,100705.8851238276,505.58536706700085,99716.11082899306,100228.08225045152,100745.55793483283,101173.65153140115,101556.24238701275
rainfall_mm,312.0,,,,5.455848008649897,5.12664132141872,0.0010192594829512,0.39259290694230087,4.580203600501834,9.013311507023491,20.824612047915043
temperature,312.0,,,,25.247250507152078,3.5109841101340202,17.280789209181307,22.643088481539753,26.829437197408424,27.93925314479408,30.7330044852364
wind_speed,312.0,,,,1.9087292220802663,0.6625926735696543,0.9198420908403786,1.3821905001855552,1.7192454874386878,2.457513496863717,3.592703405901158
year,312.0,,,,2012.5,7.512048200537759,2000.0,2006.0,2012.5,2019.0,2025.0
pm25_mean,312.0,,,,89.7047010578084,43.68509645288159,11.79986559139785,54.78270527350807,82.84774951613575,117.54668005743045,213.41361545040323
pm25_max,312.0,,,,158.10099718996796,50.254107332626944,40.4,116.287006525,150.30311975,197.84089545,290.6
pm10_mean,312.0,,,,149.91144803583327,74.98155590032621,17.695967741935487,89.94698338368951,139.05134939370777,200.41394227946572,351.9975459369048
no2_ground,312.0,,,,33.20327407589535,7.259075723093728,12.074327956989247,28.376356685967977,33.30955968142359,37.61253047728965,68.92970430107526
so2_mean,312.0,,,,21.198432376120657,6.09265670302258,5.861155913978495,17.0567291516031,20.687421992277756,24.097608386935224,37.52054254954301
co_mean,312.0,,,,78.7567129874667,222.7672811723313,1.1782823543778735,1.4176653356558466,1.6456237964294353,1.8815759963192318,1321.7849462365589
ozone_mean,312.0,,,,52.62898032597901,13.085453417734204,41.4128967686586,42.398781052915645,42.83492123241086,64.90933069022121,102.75138888888888
aqi_mean,312.0,,,,159.71225855399922,39.59784996335242,44.483870967741936,134.49140059096942,162.09432780200848,183.34886437275415,263.20929609758065
observations,312.0,,,,824.0,243.57466486345425,672.0,720.0,744.0,744.0,1488.0
ground_pollution_imputed,312.0,,,,0.003205128205128205,0.05661385170722979,0.0,0.0,0.0,0.0,1.0
month_sin,312.0,,,,-1.5656991372918874e-17,0.7082426964267268,-1.0,-0.5915063509461099,-6.123233995736765e-17,0.5915063509461096,1.0
month_cos,312.0,,,,-4.697097411875662e-17,0.7082426964267268,-1.0,-0.59150635094611,-6.123233995736764e-17,0.5915063509461097,1.0
season,312,4,Monsoon,104,,,,,,,
winter_flag,312.0,,,,0.25,0.43370830507459185,0.0,0.0,0.0,0.25,1.0
monsoon_flag,312.0,,,,0.3333333333333333,0.4721617976178179,0.0,0.0,0.0,1.0,1.0
temperature_anomaly,312.0,,,,2.1635115351669717e-16,0.760847375916798,-2.462670981500029,-0.3623336417174956,-0.050758938964207745,0.45722298014753004,2.8097203377748734
rainfall_anomaly,312.0,,,,2.7328566760003855e-16,2.63881125932426,-7.385284839161097,-1.2054995925775085,-0.2803052422530215,0.7507220845666901,11.054104365005283
wind_anomaly,312.0,,,,-1.708035422500241e-17,0.28296727968205493,-0.7868568333537584,-0.18093356054389564,-0.0177077517202166,0.15344585987672443,1.4350377541038668
PM25_lag_1,311.0,,,,89.80383717193249,43.72033306776076,11.79986559139785,54.78013684900538,82.98483565360215,117.56594180731922,213.41361545040323
PM25_lag_3,309.0,,,,90.03785917647069,43.76252393303893,11.79986559139785,54.78527369801076,83.10752201744444,117.60446530709676,213.41361545040323
PM25_lag_6,306.0,,,,90.70854755209683,43.44399592906307,11.79986559139785,55.54145131087399,83.23270016960625,117.78209650846169,213.41361545040323
PM25_lag_12,300.0,,,,91.32706889036353,43.40723004715567,11.79986559139785,57.16702284946237,83.35132726042383,122.18648156580903,213.41361545040323
