,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed,month_sin,month_cos,winter_flag,monsoon_flag,temperature_anomaly,rainfall_anomaly,wind_anomaly,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
AOD,1.0,,-0.1735625058636428,0.03818388827678014,0.281054758788195,0.26717999358707734,,-0.12826700443924463,-0.43298505858050695,0.03584975392358971,0.03261243709360021,-0.12932683948103404,0.07068436287780326,0.40253940165459445,0.3205067448907364,0.39046111623879376,0.28572529100030714,0.25847686299355127,0.22721840334888493,0.25664309092479193,0.3535643819043597,0.2989980400262724,0.23741770495421366,-0.03686642931437328,0.43841934713351094,-0.13634262652804577,0.2860657989303453,-0.11562238640835314,0.08265128972365555,0.03892741844333985,-0.09665924158546686,0.30386293033412176,0.2357006791758422,0.13573949008590297,0.35265712043287367
AOD_available,,1.0,-0.14021351176137595,0.5153986829876844,0.4119243834501859,-0.017562402510315697,,-0.3566125337730633,-0.08589029170169868,0.478828562130183,-0.4286965510492683,-0.2659444084085395,-0.5599979482228548,-0.0030410030639112543,0.06132950726720988,0.06739513264623291,0.04979876883435165,0.05378798814672267,0.1253651045755569,0.09724136130314695,0.19945662820420565,0.0785827195098117,0.035113890459908974,0.023279327583540493,0.33359633945096717,0.3817468235466401,0.21595404431932283,-0.5612319247942329,0.10270087062899744,-0.15322817320686918,-0.06393398755367269,0.02920728655572493,0.021786343804768092,-0.36551731955459305,0.07949959857845901
LST_C,-0.1735625058636428,-0.14021351176137595,1.0,,-0.5497840570513151,0.0746485213383553,,0.7080310685592252,0.008009860971927038,-0.6214429288915149,0.4189628019967456,0.8481856824721042,0.2963889935642096,0.09744440191647034,-0.2395212080967767,-0.2517020722291161,-0.20972521522024526,-0.014605712810291058,-0.4761151524794934,-0.10518995158156426,0.370968742761175,-0.24457944013678912,-0.004456832088317198,-0.11432721628157265,-0.07780062554233924,-0.6520620014584099,-0.7758304057489954,0.2687362674207921,0.1516832533643045,-0.18073376467264785,-0.032847531122207625,-0.02753944687585177,0.3372079198663562,0.19911067550974365,-0.2196788612434194
LST_available,0.03818388827678014,0.5153986829876844,,1.0,0.44704858186295815,-0.06348524583096564,,-0.34725160437622704,-0.07282691350935873,0.43777205216117326,-0.37475295716179846,-0.2707922147127251,-0.4945903225940231,-0.07146783245986146,0.12308312581382429,0.12991806240617018,0.11342016871858747,0.14077106636296421,0.20173001031547347,0.03525343557446348,0.1112408884364318,0.16950020206992608,-0.08644864113249381,0.022056017029076468,0.2843776479635078,0.3567233708314998,0.20265835957124242,-0.5299507604278763,0.0017879359138392018,-0.05294672516156279,-0.05050445473476406,0.10434404900180382,0.051669156966895724,-0.25876795876286374,0.09803756918682402
NO2,0.281054758788195,0.4119243834501859,-0.5497840570513151,0.44704858186295815,1.0,,,-0.8078107255286984,-0.208622919707344,0.7758258656383636,-0.7449198385511777,-0.730561271326915,-0.6722623454985662,-0.008096604294525784,0.3623502359484423,0.4129749165315501,0.3045982995357884,0.5419765496293186,0.40026725841078264,0.2732857013497837,-0.1132682558172883,0.421276028934925,-0.04830905290502043,0.03596812316073848,0.40611637461248173,0.7233193586799365,0.6044779088968812,-0.6271523560844903,-0.24310360934464934,0.14273716712825496,0.04151611164012342,0.34698895702972077,-0.00104963631353074,-0.19277560701027555,0.49644366730474965
NO2_available,0.26717999358707734,-0.017562402510315697,0.0746485213383553,-0.06348524583096564,,1.0,,0.0360548023661161,0.035747347323950934,0.026796350783541503,-0.05839046535634738,0.05059195721714901,-0.03066075675350535,0.7864803002708706,0.2314766223100785,0.34269870270092134,0.17407487488451598,0.3546020106930401,-0.026656424258481602,0.5412343422302599,0.3025432567487532,0.12697349739413277,0.5996511767070204,0.08836804482327786,-0.03721737276849244,-6.642929524941902e-18,-0.012213602862114254,0.024930912444313974,0.19419376369511174,-0.13731401448634964,-0.0947362470553797,0.24071268835215875,0.2605440278284656,0.33327057672118787,0.3863679298478039
climate_available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dewpoint,-0.12826700443924463,-0.3566125337730633,0.7080310685592252,-0.34725160437622704,-0.8078107255286984,0.0360548023661161,,1.0,0.2588017705710182,-0.9021832541275033,0.8005091063043184,0.9294352960899877,0.6236759701293392,0.031166974543099007,-0.36475978893086414,-0.36433168440662994,-0.3374263240912368,-0.17517935289903305,-0.5903970513262907,-0.10637212322073752,0.1997181807278222,-0.38860838428326033,0.05587317768618962,-0.0788135215315912,-0.4942037478219845,-0.8088178745260317,-0.8314437927695572,0.6678424397894231,0.0632426868674723,0.0173387225475167,0.006498845209899432,-0.2960499069582652,0.08584880489980622,0.26216594213198785,-0.3600829137782157
month,-0.43298505858050695,-0.08589029170169868,0.008009860971927038,-0.07282691350935873,-0.208622919707344,0.035747347323950934,,0.2588017705710182,1.0,-0.06626706663997811,0.09829131712187675,0.10219095525876173,-0.0799177772136799,4.859041637488127e-15,-0.15588050493989156,-0.14013882771463884,-0.15299386621029767,-0.025316823069283345,-0.20144438528227232,0.03581135463424597,-0.3054612133022316,-0.15877811969205663,0.05662819460935093,0.09034520325219378,-0.7644606827928017,0.2048366225996755,-0.2508726030021275,0.20483662259967567,-7.274842623613409e-16,-2.6918784911110233e-17,-7.443364559469948e-17,-0.34077385928055176,-0.21232218011341622,0.05524749931837479,-0.15133406368644198
pressure,0.03584975392358971,0.478828562130183,-0.6214429288915149,0.43777205216117326,0.7758258656383636,0.026796350783541503,,-0.9021832541275033,-0.06626706663997811,1.0,-0.8147615961992046,-0.8622866576115246,-0.82052241805582,0.04329485509293548,0.3484110375743256,0.3629669233168615,0.31889008843752664,0.23426002831572493,0.519288978349457,0.15912885243139213,-0.19975651630280794,0.3710557844765711,-0.003706556270151414,0.07373914337720124,0.343957726921681,0.9139275172391741,0.7011489011320186,-0.7740825753928303,-0.04657054115986706,-0.005105096116579229,-0.06684973903946051,0.256750275806074,-0.04024060264563003,-0.2995517483329685,0.3451075306525251
rainfall_mm,0.03261243709360021,-0.4286965510492683,0.4189628019967456,-0.37475295716179846,-0.7449198385511777,-0.05839046535634738,,0.8005091063043184,0.09829131712187675,-0.8147615961992046,1.0,0.6649449631317521,0.6396135888548068,-0.06510492418587399,-0.2838536619318796,-0.3130422380245391,-0.2589042854876282,-0.19215639023322406,-0.4122023024585489,-0.14069365139737494,0.15939378501507404,-0.3042434050391086,-0.013694688842063325,-0.060391935162190935,-0.3360299704729688,-0.7641954635257887,-0.566509842521568,0.64507191836607,-0.231901469593785,0.5147251570535092,-0.005796938637151942,-0.26488119639682245,0.0077653461832780666,0.2175231969736833,-0.3061496434655569
temperature,-0.12932683948103404,-0.2659444084085395,0.8481856824721042,-0.2707922147127251,-0.730561271326915,0.05059195721714901,,0.9294352960899877,0.10219095525876173,-0.8622866576115246,0.6649449631317521,1.0,0.5717049256883366,0.05087344713338594,-0.3868694742628698,-0.3787980681486903,-0.35910563577531235,-0.16916950363351008,-0.6214611015242959,-0.09162995660286513,0.3648395530944546,-0.399007516415802,0.06989194489258524,-0.08735843731900941,-0.27610336968717425,-0.8390943919077558,-0.8762997224976928,0.5401655654060337,0.21670487591234144,-0.09763303484112869,0.03254473374508609,-0.22645980928050424,0.17316733655838584,0.20879677329575913,-0.3731870833198052
wind_speed,0.07068436287780326,-0.5599979482228548,0.2963889935642096,-0.4945903225940231,-0.6722623454985662,-0.03066075675350535,,0.6236759701293392,-0.0799177772136799,-0.82052241805582,0.6396135888548068,0.5717049256883366,1.0,-0.03297161664707975,-0.19424778119734906,-0.2188123667103019,-0.17300030459111562,-0.20545052065605474,-0.2976806173268306,-0.14548193942958,0.09149407603462947,-0.21536294186031157,-0.017957176088336354,-0.021876431715346985,-0.19470768287016016,-0.7760188893473298,-0.3796457432048686,0.748924333905295,0.06413596445665555,-0.004809643630948569,0.4270606829345032,-0.15275276044242345,-0.00936992331027459,0.31876051416954043,-0.20609319435522774
year,0.40253940165459445,-0.0030410030639112543,0.09744440191647034,-0.07146783245986146,-0.008096604294525784,0.7864803002708706,,0.031166974543099007,4.859041637488127e-15,0.04329485509293548,-0.06510492418587399,0.05087344713338594,-0.03297161664707975,1.0,0.44225270997014515,0.5730657195378779,0.38386852992072484,0.5082921499143433,0.13800848229974239,0.5155672678000667,0.31598419933707445,0.3547849122639526,0.5753161719182721,0.0945079961872907,-3.121603067637671e-15,1.2646625068918301e-15,3.1906936425916676e-16,1.061221466946158e-15,0.2347591253736443,-0.1264848303870761,-0.07720592872310068,0.4556116043375636,0.4651517733288661,0.4941239737692968,0.5489548966035769
pm25_mean,0.3205067448907364,0.06132950726720988,-0.2395212080967767,0.12308312581382429,0.3623502359484423,0.2314766223100785,,-0.36475978893086414,-0.15588050493989156,0.3484110375743256,-0.2838536619318796,-0.3868694742628698,-0.19424778119734906,0.44225270997014515,1.0,0.931667433124046,0.9933215394720745,0.6188653356823645,0.9017622287124738,-0.2339342056861903,-0.2673258699135366,0.9735136288492249,-0.3683267313771259,-0.04008444637888256,0.20858762279776963,0.27210682880407216,0.4232345181220824,-0.21076006751770993,-0.03306057368889199,-0.04954592134388473,-0.043617632195928055,0.9019475410211322,0.677917958292831,0.6203144082761516,0.8539344306463398
pm25_max,0.39046111623879376,0.06739513264623291,-0.2517020722291161,0.12991806240617018,0.4129749165315501,0.34269870270092134,,-0.36433168440662994,-0.14013882771463884,0.3629669233168615,-0.3130422380245391,-0.3787980681486903,-0.2188123667103019,0.5730657195378779,0.931667433124046,1.0,0.9034595281744138,0.719808768579156,0.8045601733876754,0.007568824453185569,-0.1645254798689388,0.9023194214724585,-0.1569508968301808,-0.0197791735008979,0.19642124608993042,0.293967301844459,0.42966035971773053,-0.21254143926150387,0.05664017240248057,-0.08175129883631128,-0.06466778000423858,0.8545146152975188,0.6381136016302352,0.6176343472028704,0.8657674713288455
pm10_mean,0.28572529100030714,0.04979876883435165,-0.20972521522024526,0.11342016871858747,0.3045982995357884,0.17407487488451598,,-0.3374263240912368,-0.15299386621029767,0.31889008843752664,-0.2589042854876282,-0.35910563577531235,-0.17300030459111562,0.38386852992072484,0.9933215394720745,0.9034595281744138,1.0,0.5804328591231855,0.9018472338021076,-0.32161452732842816,-0.3105935402190236,0.9671745842758228,-0.4386546918177849,-0.06733892234728793,0.19836737872747157,0.2445782048782527,0.3944868801703737,-0.19089402371226966,-0.04631388579815122,-0.046674763739578004,-0.04037009304372266,0.9011346667723791,0.6943466406711823,0.6381448097624985,0.8359281004858999
no2_ground,0.25847686299355127,0.05378798814672267,-0.014605712810291058,0.14077106636296421,0.5419765496293186,0.3546020106930401,,-0.17517935289903305,-0.025316823069283345,0.23426002831572493,-0.19215639023322406,-0.16916950363351008,-0.20545052065605474,0.5082921499143433,0.6188653356823645,0.719808768579156,0.5804328591231855,1.0,0.43582308366897904,0.3588678424585982,-0.01783262354276273,0.6581439026821329,0.02730056004369331,0.004434982887003628,0.0907582917986064,0.1819107906755989,0.13418850828531598,-0.18373645676777528,0.017011894244556323,-0.050652302804000585,-0.07666973160337928,0.5810978269169799,0.4929954864825525,0.48922692323118877,0.7524841008134077
so2_mean,0.22721840334888493,0.1253651045755569,-0.4761151524794934,0.20173001031547347,0.40026725841078264,-0.026656424258481602,,-0.5903970513262907,-0.20144438528227232,0.519288978349457,-0.4122023024585489,-0.6214611015242959,-0.2976806173268306,0.13800848229974239,0.9017622287124738,0.8045601733876754,0.9018472338021076,0.43582308366897904,1.0,-0.3323524624661431,-0.39814333209098157,0.9081880104207597,-0.49324306925189465,-0.03824621403445572,0.2929802920188173,0.4505417699568143,0.6702846261313605,-0.32728012977952176,-0.08152290559509451,-0.0015114761578085673,-0.017499655412754424,0.7461939982415532,0.42537281815441863,0.35937656535923873,0.6975440944899322
co_mean,0.25664309092479193,0.09724136130314695,-0.10518995158156426,0.03525343557446348,0.2732857013497837,0.5412343422302599,,-0.10637212322073752,0.03581135463424597,0.15912885243139213,-0.14069365139737494,-0.09162995660286513,-0.14548193942958,0.5155672678000667,-0.2339342056861903,0.007568824453185569,-0.32161452732842816,0.3588678424585982,-0.3323524624661431,1.0,0.4432687495795208,-0.23823096218470047,0.8767691836376768,0.15640049609795284,0.017023957294429685,0.1529260818261291,0.09497750595989732,-0.11454395626299449,0.18274309509144782,-0.03771888228663211,-0.041462934182956,-0.2536303023069422,-0.28861746840759445,-0.20830632775008617,0.06550536383064198
ozone_mean,0.3535643819043597,0.19945662820420565,0.370968742761175,0.1112408884364318,-0.1132682558172883,0.3025432567487532,,0.1997181807278222,-0.3054612133022316,-0.19975651630280794,0.15939378501507404,0.3648395530944546,0.09149407603462947,0.31598419933707445,-0.2673258699135366,-0.1645254798689388,-0.3105935402190236,-0.01783262354276273,-0.39814333209098157,0.4432687495795208,1.0,-0.25841637069406376,0.48168738861640975,0.13311927861166753,0.4774290066975061,-0.409032371735477,-0.30755805442688855,-0.1613053609104481,0.14015369888056964,-0.017575335186037835,1.0551989648507874e-05,-0.13702565547896267,0.09838722375613779,-0.21978965005097112,-0.21676088242369485
aqi_mean,0.2989980400262724,0.0785827195098117,-0.24457944013678912,0.16950020206992608,0.421276028934925,0.12697349739413277,,-0.38860838428326033,-0.15877811969205663,0.3710557844765711,-0.3042434050391086,-0.399007516415802,-0.21536294186031157,0.3547849122639526,0.9735136288492249,0.9023194214724585,0.9671745842758228,0.6581439026821329,0.9081880104207597,-0.23823096218470047,-0.25841637069406376,1.0,-0.43567646970058616,-0.030731725360306376,0.2311444901209336,0.2924422270048353,0.42122519935070435,-0.250964140701318,-0.04064065864025207,-0.04213560564941605,-0.015509381556820662,0.8747811455169053,0.6459327408652921,0.5535625108461076,0.8024914518841089
observations,0.23741770495421366,0.035113890459908974,-0.004456832088317198,-0.08644864113249381,-0.04830905290502043,0.5996511767070204,,0.05587317768618962,0.05662819460935093,-0.003706556270151414,-0.013694688842063325,0.06989194489258524,-0.017957176088336354,0.5753161719182721,-0.3683267313771259,-0.1569508968301808,-0.4386546918177849,0.02730056004369331,-0.49324306925189465,0.8767691836376768,0.48168738861640975,-0.43567646970058616,1.0,0.06528942226929345,-0.06184916896426984,0.00435782751800921,-0.032872559055810664,0.016327868679210378,0.24705553888678308,-0.05957782890280857,-0.050035734771258215,-0.35371750765888943,-0.29208914767781236,-0.19762304955665205,-0.09215639111249314
