,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed,month_sin,month_cos,winter_flag,monsoon_flag,temperature_anomaly,rainfall_anomaly,wind_anomaly,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
AOD,1.0,,-0.08792535991934418,0.07800351246349234,0.2319568318349803,0.2292820182557094,,-0.08984835715969329,-0.41792261307502365,0.04710383462959912,-0.0037918985642450683,-0.02506044924423632,0.10154401104036671,0.3829742646307158,0.3393120866466305,0.3949567234142237,0.3062681237531108,0.31057542362410584,0.24424161859969987,0.3834571818774571,0.38130889084841496,0.3418326640594288,0.08165326120107987,-0.038582197150854855,0.4339865976860755,-0.10896609664675698,0.2765865188642557,-0.13551214446692472,0.08540456348938298,0.06217969703171238,-0.1303793364427903,0.33316820549854503,0.2929279511467302,0.19456259373485216,0.3541352660684119
AOD_available,,1.0,-0.15263119944163397,0.5153986829876848,0.4730709034560262,-0.0175624025103158,,-0.40228231348999477,-0.08589029170169864,0.47673214363355415,-0.41362704951187046,-0.2496348386242206,-0.5032707225418706,-0.0030410030639109633,0.03884559548343886,0.05242565620310583,0.025272427830816156,0.022334951249278406,0.0868581437471938,0.002988122729495297,0.14226502961275067,0.040668856809910565,-0.10079278947685255,0.023279327583540507,0.25415141752848175,0.4116723481841553,0.21595404431932297,-0.5612319247942331,0.12818538781860464,-0.09810157890345207,-0.0875671811688532,0.004213416259822669,0.002699345595830932,-0.3017617301792517,0.054866402375980686
LST_C,-0.08792535991934418,-0.15263119944163397,1.0,,-0.6115967983519384,0.09413497350742976,,0.6378519859300708,-0.0019128412107435346,-0.6531903783985387,0.551737153290266,0.7652497591228571,0.33098284130796235,0.12839692059453356,-0.14447508927784064,-0.18591879443010995,-0.11462494145757911,0.045933183410332756,-0.35297602331981426,0.12029114551237757,0.37416090361429377,-0.14168977088133713,-0.04765735458757349,-0.09646385544722393,0.036837640622857784,-0.6741442390840244,-0.7297572700556996,0.2751460713017094,0.12659555096788377,-0.22098192482702417,-0.04443454939895351,0.022464031141071178,0.34086641250577676,0.20830074971301377,-0.12859238071080448
LST_available,0.07800351246349234,0.5153986829876848,,1.0,0.5220402872677914,-0.06348524583096582,,-0.42380462473274383,-0.07282691350935866,0.4378138244567291,-0.3541799554278243,-0.28455528612290476,-0.4496110452769273,-0.07146783245986102,0.10738631976987688,0.11519605915681021,0.09611575948014973,0.07167865679588152,0.14572729122278044,-0.06514805176818916,0.0815798966765764,0.10896630485722181,-0.10469836027539485,0.022056017029076454,0.22574621086250893,0.39505586900939066,0.20265835957124254,-0.5299507604278767,0.02375244013352398,0.02512176040729698,-0.06894000916803301,0.09564347718149745,0.03685383279977794,-0.22564401147131638,0.0768537814249544
NO2,0.2319568318349803,0.4730709034560262,-0.6115967983519384,0.5220402872677914,1.0,,,-0.8154642458990286,-0.11723177906171706,0.8318999840738971,-0.7849020544672719,-0.7382385730211817,-0.7190157668418538,-0.025107038262303767,0.3241930410642079,0.4173286336825188,0.3262475165160296,0.47034746913682707,0.30328198472124734,0.17931270629504406,-0.08209938724140262,0.3209759554729832,-0.06422688348760906,0.05216720300383332,0.27982836866977867,0.7988436153270397,0.6048256737170244,-0.6807622710701595,-0.1704411530498487,0.22841216754260232,0.03704411530498487,0.26518553909858256,-0.028905876731963688,-0.19719700589265807,0.4332377767160376
NO2_available,0.2292820182557094,-0.0175624025103158,0.09413497350742976,-0.06348524583096582,,1.0,,0.09007578377664699,0.03574734732395055,0.02861599215155539,-0.021178182973996533,0.11943555684595827,-0.021413061158551024,0.7864803002708705,0.17760707143102808,0.3309477622660883,0.11254580788278724,0.4426279825150175,0.018359646572879033,0.7855501658378753,0.27202811094869167,0.17870316973388653,0.385276046414477,0.08836804482327783,-0.03581000705183517,-0.004092572234495448,-0.012213602862114535,0.024930912444314012,0.21972854165072558,-0.11888750774866445,-0.06502211075750138,0.18869851245679314,0.21315525677794012,0.2770779218699134,0.34199270497322115
climate_available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dewpoint,-0.08984835715969329,-0.40228231348999477,0.6378519859300708,-0.42380462473274383,-0.8154642458990286,0.09007578377664699,,1.0,0.24351343965213595,-0.9169143370113136,0.8500382074804478,0.8785827909082792,0.6665000604523734,0.08594819603765091,-0.27739443527945684,-0.2902643089876927,-0.25012448547567506,-0.10337376629485541,-0.46394731713427106,0.06958562758509275,0.16007098610770817,-0.27958968638945436,0.05586511581297278,-0.06831055335857061,-0.4220315586927531,-0.8565121060440763,-0.7477849060385156,0.7851723889635338,0.11112608152456935,-0.09796959048060822,-0.02041433187483751,-0.2230106994965412,0.05099060037988945,0.2987991544137279,-0.2632602584473161
month,-0.41792261307502365,-0.08589029170169864,-0.0019128412107435346,-0.07282691350935866,-0.11723177906171706,0.03574734732395055,,0.24351343965213595,1.0,-0.07063559768421114,0.08560391172937672,0.05531678592724416,-0.13962179437170982,0.0,-0.1343179525593678,-0.12413891376142876,-0.1367714367843288,-0.018035170804913,-0.18308868309840376,0.0031390165819354153,-0.3176385826958456,-0.14392571431425713,0.1101297156474189,0.09034520325219368,-0.7705791151721808,0.15411582303443616,-0.2508726030021272,0.20483662259967567,-0.02248339733643673,-0.06648116892374163,0.03081287236983466,-0.2989766267262409,-0.19226784272557362,0.042433764927473076,-0.1282356371834062
pressure,0.04710383462959912,0.47673214363355415,-0.6531903783985387,0.4378138244567291,0.8318999840738971,0.02861599215155539,,-0.9169143370113136,-0.07063559768421114,1.0,-0.842646028041999,-0.8620611177446287,-0.7748678542726394,0.045412950440342104,0.31305363439803763,0.34880156471414997,0.2784582786224497,0.18359782730987695,0.4651008512623557,0.0625717686795633,-0.18865686172535728,0.3142227755129553,-0.023886179501167195,0.07964317972220446,0.24385250409717565,0.9363436338956534,0.7219793823000724,-0.763657714330844,-0.02946914913877099,0.10818090511031965,-0.05728830408571119,0.22444607565445654,-0.036660958834463374,-0.25913282384561664,0.3077700863342926
