feature,lag_months,pearson_r,pearson_p,spearman_r,spearman_p,n
AOD,1,0.19141103639641438,0.0017117248793612288,0.23797408711665993,8.876399939084867e-05,266
AOD,3,-0.06322280592324464,0.30611938007725825,0.00022957357687156918,0.9970379170660283,264
AOD,6,0.08560475683628847,0.16629560482393482,0.13294210757372468,0.031141127895946297,263
AOD,12,0.3223148290163701,1.266780372311054e-07,0.34062870656082944,2.112688704743445e-08,257
LST_C,1,-0.24109233863051685,6.271168712092205e-05,-0.14838724132562803,0.014668392777602063,270
LST_C,3,0.11897694674772874,0.05170902554346751,0.11402877008269804,0.0623090058477067,268
LST_C,6,0.19843704800546128,0.0011395903834604607,0.2021855702378346,0.0009120696159967404,266
LST_C,12,-0.26108975021078956,1.9362324190935458e-05,-0.17446517567408687,0.004702246629290058,261
NO2,1,0.342421321047805,0.0009546758435453864,0.341022928853894,0.001004760022450107,90
NO2,3,0.14426077823411176,0.1799326092039417,0.20206316290201,0.059033733773591196,88
NO2,6,-0.3336852355135224,0.0018033541999565611,-0.34750023207485325,0.0011198714084966835,85
NO2,12,0.20575706644060573,0.06888439935983798,0.22651062872028946,0.044712137833864136,79
temperature,1,-0.378161522864487,5.199803971452473e-12,-0.2764888613223248,7.3006316017394e-07,311
temperature,3,-0.02376097416847186,0.67737651864541,-0.0637602205880786,0.2638245079228024,309
temperature,6,0.21645388878109562,0.00013550119235052668,0.22582453831728233,6.72658468987106e-05,306
temperature,12,-0.3941949207906051,1.3583709162307212e-12,-0.2848305297648358,5.245198608384814e-07,300
dewpoint,1,-0.3197983926854607,7.964810470572578e-09,-0.24434708380345715,1.3126032055724688e-05,311
dewpoint,3,0.025402149678916915,0.6564707211593008,0.003095245188871491,0.9567845358841797,309
dewpoint,6,0.27623824808910646,9.189110918365136e-07,0.309896302590924,3.100676571549835e-08,306
dewpoint,12,-0.37633326851084536,1.5786081686564724e-11,-0.28304095412626473,6.220633765657595e-07,300
rainfall_mm,1,-0.2799863900243076,5.208762247336996e-07,-0.2651684178516862,2.1095648726052823e-06,311
rainfall_mm,3,-0.09065859056252361,0.11173328378741297,-0.039665912819226594,0.48723664109352516,309
rainfall_mm,6,0.24086658293467816,2.0527847626203678e-05,0.23809538268594005,2.5695546310408577e-05,306
rainfall_mm,12,-0.27358169315582614,1.502629499241478e-06,-0.25278728127949146,9.322424895281736e-06,300
pressure,1,0.35872312434043446,7.081652720629817e-11,0.3227294809357369,5.708480296356323e-09,311
pressure,3,0.13987107372021054,0.013860715466338486,0.12713424731192152,0.02542820887694916,309
pressure,6,-0.306096807297742,4.647134873615728e-08,-0.2617893909904023,3.4520867013696404e-06,306
pressure,12,0.35738130411534874,1.817947609362972e-10,0.31719133736945465,1.9466211162962692e-08,300
wind_speed,1,-0.23567179740161204,2.684858885661515e-05,-0.21312445775698222,0.000152504829993935,311
wind_speed,3,-0.21939989764026907,0.00010084486677867904,-0.203206100520834,0.0003242160195233496,309
wind_speed,6,0.31269880894714214,2.2921174625236993e-08,0.24596658132973517,1.3484430411301887e-05,306
wind_speed,12,-0.20329069818970344,0.00039489708701309477,-0.16239826691388523,0.004805058028647354,300
