track,model,split,RMSE,MAE,R2
forecasting,LinearRegression,validation,38.78936829618179,24.723468258178,0.6049784890793299
forecasting,LinearRegression,test,12.207153066885272,9.783860837367166,0.7876426531414004
forecasting,Ridge,validation,40.141383568007335,25.19977155027552,0.576961389811347
forecasting,Ridge,test,12.474826846937715,10.21079210875321,0.7782275661569529
forecasting,RandomForest,validation,67.2206293437191,43.996543558643275,-0.18631625240696437
forecasting,RandomForest,test,17.748982614602454,15.775867269010567,0.5510629605996227
forecasting,XGBoost,validation,64.87560155356945,42.3681721064309,-0.10498943977771091
forecasting,XGBoost,test,18.03075878014651,16.00677449191698,0.5366955017358204
attribution,LinearRegression,validation,62.69016448562682,59.18770424282732,-0.031796738067944474
attribution,LinearRegression,test,68.0997595513269,61.131906258918946,-5.6089074050376855
attribution,Ridge,validation,62.57571873918871,59.09178227738922,-0.028032927192471524
attribution,Ridge,test,67.37121857263323,60.831591567191204,-5.468257720799074
attribution,RandomForest,validation,60.810775529576624,51.73868590781101,0.0291404297398965
attribution,RandomForest,test,89.51352684990682,86.49416737262096,-10.418678562750774
attribution,XGBoost,validation,64.235481412111,53.173196254882164,-0.08329140762736409
attribution,XGBoost,test,88.67149093821094,85.68081350042371,-10.204862509457605
